DATE,ADMIN_DOSE1_DAILY,ADMIN_DOSE1_CUMULATIVE,ADMIN_DOSE2_DAILY,ADMIN_DOSE2_CUMULATIVE,ADMIN_SINGLE_DAILY,ADMIN_SINGLE_CUMULATIVE,ADMIN_ADDITIONAL1_DAILY,ADMIN_ADDITIONAL1_CUMULATIVE,ADMIN_ADDITIONAL2_DAILY,ADMIN_ADDITIONAL2_CUMULATIVE,ADMIN_ADDITIONAL_DAILY,ADMIN_ADDITIONAL_CUMULATIVE,ADMIN_BIVALENT_ADDITIONAL_DAILY,ADMIN_BIVALENT_ADDITIONAL_CUMULATIVE,ADMIN_ALLDOSES_DAILY,ADMIN_ALLDOSES_7DAYAVG,ADMIN_ALLDOSES_CUMULATIVE,ADMIN_ALLDOSES_PRIMARY,INCOMPLETE
12/14/2020,78,78,0,0,2,2,0,0,0,0,0,0,0,0,80,,80,80,0
12/15/2020,2033,2111,7,7,5,7,0,0,0,0,0,0,0,0,2045,,2125,2125,0
12/16/2020,4580,6691,17,24,4,11,1,1,0,0,1,1,0,0,4602,,6727,6726,0
12/17/2020,4643,11334,17,41,1,12,1,2,0,0,1,2,0,0,4662,,11389,11387,0
12/18/2020,5811,17145,23,64,2,14,2,4,0,0,2,4,0,0,5838,,17227,17223,0
12/19/2020,1682,18827,10,74,3,17,0,4,0,0,0,4,0,0,1695,,18922,18918,0
12/20/2020,1117,19944,2,76,1,18,0,4,0,0,0,4,0,0,1120,2863.14,20042,20038,0
12/21/2020,6373,26317,23,99,0,18,4,8,0,0,4,8,0,0,6400,3766,26442,26434,0
12/22/2020,9742,36059,29,128,2,20,1,9,0,0,1,9,0,0,9774,4870.14,36216,36207,0
12/23/2020,14231,50290,37,165,3,23,0,9,0,0,0,9,0,0,14271,6251.43,50487,50478,0
12/24/2020,7154,57444,28,193,1,24,0,9,0,0,0,9,0,0,7183,6611.57,57670,57661,0
12/25/2020,180,57624,0,193,0,24,1,10,0,0,1,10,0,0,181,5803.43,57851,57841,0
12/26/2020,4386,62010,47,240,0,24,1,11,0,0,1,11,0,0,4434,6194.71,62285,62274,0
12/27/2020,3864,65874,16,256,0,24,1,12,0,0,1,12,0,0,3881,6589.14,66166,66154,0
12/28/2020,10966,76840,50,306,1,25,3,15,0,0,3,15,0,0,11020,7249.14,77186,77171,0
12/29/2020,10689,87529,37,343,2,27,3,18,0,0,3,18,0,0,10731,7385.86,87917,87899,0
12/30/2020,12800,100329,45,388,0,27,0,18,0,0,0,18,0,0,12845,7182.14,100762,100744,0
12/31/2020,7247,107576,38,426,1,28,0,18,0,0,0,18,0,0,7286,7196.86,108048,108030,0
1/1/2021,178,107754,2,428,1,29,3,21,0,0,3,21,0,0,184,7197.29,108232,108211,0
1/2/2021,3799,111553,10,438,3,32,2,23,0,0,2,23,0,0,3814,7108.71,112046,112023,0
1/3/2021,3539,115092,25,463,2,34,1,24,0,0,1,24,0,0,3567,7063.86,115613,115589,0
1/4/2021,12224,127316,803,1266,2,36,8,32,0,0,8,32,0,0,13037,7352,128650,128618,0
1/5/2021,14072,141388,2185,3451,2,38,14,46,1,1,15,47,0,0,16274,8143.86,144924,144877,0
1/6/2021,17772,159160,3909,7360,1,39,34,80,7,8,41,88,0,0,21723,9412.14,166647,166559,0
1/7/2021,16511,175671,5171,12531,4,43,45,125,3,11,48,136,0,0,21734,11476.14,188381,188245,0
1/8/2021,16589,192260,5442,17973,0,43,38,163,5,16,43,179,0,0,22074,14603.29,210455,210276,0
1/9/2021,7644,199904,1458,19431,1,44,9,172,2,18,11,190,0,0,9114,15360.43,219569,219379,0
1/10/2021,7874,207778,978,20409,0,44,14,186,0,18,14,204,0,0,8866,16117.43,228435,228231,0
1/11/2021,25787,233565,7440,27849,2,46,59,245,6,24,65,269,0,0,33294,19011.29,261729,261460,0
1/12/2021,28218,261783,7851,35700,1,47,48,293,4,28,52,321,0,0,36122,21846.71,297851,297530,0
1/13/2021,31677,293460,9389,45089,0,47,60,353,6,34,66,387,0,0,41132,24619.43,338983,338596,0
1/14/2021,35753,329213,5292,50381,1,48,34,387,7,41,41,428,0,0,41087,27384.14,380070,379642,0
1/15/2021,29218,358431,3704,54085,2,50,33,420,6,47,39,467,0,0,32963,28939.71,413033,412566,0
1/16/2021,30239,388670,2389,56474,0,50,27,447,5,52,32,499,0,0,32660,32303.43,445693,445194,0
1/17/2021,23713,412383,1642,58116,0,50,20,467,1,53,21,520,0,0,25376,34662,471069,470549,0
1/18/2021,27055,439438,2413,60529,0,50,37,504,7,60,44,564,0,0,29513,34121.86,500582,500018,0
1/19/2021,34249,473687,9623,70152,1,51,75,579,8,68,83,647,0,0,43956,35241,544538,543891,0
1/20/2021,34822,508509,9485,79637,1,52,62,641,2,70,64,711,0,0,44372,35703.86,588910,588199,0
1/21/2021,25557,534066,8084,87721,2,54,55,696,5,75,60,771,0,0,33703,34649,622613,621842,0
1/22/2021,24719,558785,4370,92091,1,55,34,730,6,81,40,811,0,0,29130,34101.43,651743,650932,0
1/23/2021,15719,574504,3221,95312,0,55,12,742,2,83,14,825,0,0,18954,32143.43,670697,669872,0
1/24/2021,7156,581660,3456,98768,0,55,21,763,1,84,22,847,0,0,10634,30037.43,681331,680484,0
1/25/2021,13383,595043,11812,110580,0,55,72,835,13,97,85,932,0,0,25280,29432.71,706611,705679,0
1/26/2021,16734,611777,10750,121330,0,55,68,903,4,101,73,1005,0,0,27557,27090,734168,733164,0
1/27/2021,20810,632587,12326,133656,0,55,53,956,9,110,62,1067,0,0,33198,25493.71,767366,766300,0
1/28/2021,30720,663307,12821,146477,0,55,86,1042,16,126,102,1169,0,0,43646,26914.14,811012,809844,0
1/29/2021,31646,694953,11485,157962,0,55,86,1128,11,137,97,1266,0,0,43228,28928.14,854240,852975,0
1/30/2021,18689,713642,3730,161692,0,55,23,1151,3,140,26,1292,0,0,22445,29426.86,876685,875394,0
1/31/2021,12997,726639,2920,164612,1,56,30,1181,5,145,35,1327,0,0,15953,30186.71,892638,891312,0
2/1/2021,1177,727816,5394,170006,3,59,38,1219,4,149,42,1369,0,0,6616,27520.43,899254,897886,0
2/2/2021,2821,730637,9430,179436,2,61,53,1272,3,152,56,1425,0,0,12309,25342.14,911563,910139,0
2/3/2021,16326,746963,21191,200627,4,65,217,1489,20,172,237,1662,0,0,37758,25993.57,949321,947660,0
2/4/2021,27018,773981,19628,220255,3,68,210,1699,11,183,221,1883,0,0,46870,26454.14,996191,994309,0
2/5/2021,27550,801531,20006,240261,0,68,195,1894,16,199,212,2095,0,0,47768,27102.71,1043959,1041866,0
2/6/2021,22934,824465,11235,251496,0,68,119,2013,13,212,132,2227,0,0,34301,28796.43,1078260,1076035,0
2/7/2021,12026,836491,8273,259769,1,69,97,2110,13,225,111,2338,0,0,20411,29433.29,1098671,1096336,0
2/8/2021,16943,853434,23494,283263,2,71,237,2347,37,262,275,2613,0,0,40714,34304.43,1139385,1136776,0
2/9/2021,17164,870598,28069,311332,2,73,357,2704,41,303,401,3014,0,0,45636,39065.43,1185021,1182014,0
2/10/2021,19567,890165,29281,340613,2,75,272,2976,51,354,326,3340,0,0,49177,40696.71,1234198,1230868,0
2/11/2021,27815,917980,33445,374058,2,77,347,3323,58,412,405,3745,0,0,61669,42810.86,1295867,1292132,0
2/12/2021,38373,956353,30750,404808,3,80,358,3681,41,453,400,4145,0,0,69526,45919.14,1365393,1361259,0
2/13/2021,27973,984326,25308,430116,2,82,307,3988,58,511,366,4511,0,0,53650,48683.29,1419043,1414544,0
2/14/2021,16248,1000574,23692,453808,0,82,278,4266,37,548,315,4826,0,0,40255,51518.14,1459298,1454484,0
2/15/2021,12763,1013337,10497,464305,2,84,178,4444,26,574,205,5031,0,0,23467,49054.29,1482765,1477747,0
2/16/2021,14216,1027553,26649,490954,0,84,346,4790,40,614,387,5418,0,0,41252,48428,1524017,1518613,0
2/17/2021,16370,1043923,22154,513108,1,85,285,5075,41,655,326,5744,0,0,38851,46952.86,1562868,1557138,0
2/18/2021,12127,1056050,24952,538060,21,106,304,5379,45,700,349,6093,0,0,37449,43492.86,1600317,1594238,0
2/19/2021,13181,1069231,23906,561966,38,144,322,5701,46,746,368,6461,0,0,37493,38916.71,1637810,1631363,0
2/20/2021,11300,1080531,26059,588025,7,151,334,6035,77,823,413,6874,0,0,37780,36649.57,1675590,1668732,0
2/21/2021,6309,1086840,17412,605437,14,165,292,6327,48,871,341,7215,0,0,24076,34338.29,1699666,1692468,0
2/22/2021,12999,1099839,11830,617267,2,167,134,6461,22,893,156,7371,0,0,24987,34555.43,1724653,1717299,0
2/23/2021,25136,1124975,14141,631408,1,168,168,6629,36,929,205,7576,0,0,39484,34302.86,1764137,1756579,0
2/24/2021,36225,1161200,20381,651789,0,168,230,6859,37,966,268,7844,0,0,56874,36877.57,1821011,1813186,0
2/25/2021,54406,1215606,30451,682240,6,174,404,7263,64,1030,469,8313,0,0,85332,43718,1906343,1898050,0
2/26/2021,62649,1278255,31876,714116,4,178,428,7691,76,1106,506,8819,0,0,95035,51938.29,2001378,1992581,0
2/27/2021,51131,1329386,22732,736848,47,225,351,8042,51,1157,403,9222,0,0,74313,57157.29,2075691,2066492,0
2/28/2021,44458,1373844,13843,750691,7,232,207,8249,36,1193,243,9465,0,0,58551,62082.29,2134242,2124800,0
3/1/2021,39212,1413056,12760,763451,10,242,177,8426,22,1215,199,9664,0,0,52181,65967.14,2186423,2176782,0
3/2/2021,46942,1459998,12554,776005,7,249,165,8591,15,1230,180,9844,0,0,59683,68852.71,2246106,2236285,0
3/3/2021,48460,1508458,16123,792128,17,266,161,8752,19,1249,180,10024,0,0,64780,69982.14,2310886,2300885,0
3/4/2021,59679,1568137,22802,814930,1079,1345,274,9026,34,1283,310,10334,0,0,83870,69773.29,2394756,2384447,0
3/5/2021,60820,1628957,24286,839216,3064,4409,335,9361,32,1315,368,10702,0,0,88538,68845.14,2483294,2472618,0
3/6/2021,47036,1675993,18877,858093,5366,9775,242,9603,42,1357,284,10986,0,0,71563,68452.29,2554857,2543897,0
3/7/2021,35916,1711909,14858,872951,6166,15941,236,9839,21,1378,258,11244,0,0,57198,68259,2612055,2600838,0
3/8/2021,39446,1751355,14563,887514,8464,24405,327,10166,88,1466,418,11662,0,0,62891,69789,2674946,2663314,0
3/9/2021,39012,1790367,12815,900329,7649,32054,189,10355,35,1501,225,11887,0,0,59701,69791.57,2734647,2722791,0
3/10/2021,51699,1842066,15338,915667,5008,37062,228,10583,35,1536,264,12151,0,0,72309,70867.14,2806956,2794837,0
3/11/2021,59856,1901922,21795,937462,4587,41649,248,10831,48,1584,298,12449,0,0,86536,71248,2893492,2881077,0
3/12/2021,52069,1953991,30257,967719,4158,45807,372,11203,94,1678,466,12915,0,0,86950,71021.14,2980442,2967561,0
3/13/2021,40578,1994569,26645,994364,5049,50856,319,11522,55,1733,375,13290,0,0,72647,71176,3053089,3039834,0
3/14/2021,30640,2025209,15946,1010310,4473,55329,243,11765,28,1761,274,13564,0,0,51334,70338.29,3104423,3090897,0
3/15/2021,33510,2058719,17210,1027520,4664,59993,247,12012,31,1792,278,13842,0,0,55662,69305.57,3160085,3146281,0
3/16/2021,38592,2097311,20433,1047953,4882,64875,263,12275,37,1829,301,14143,0,0,64208,69949.43,3224293,3210189,0
3/17/2021,42533,2139844,24702,1072655,4199,69074,352,12627,42,1871,395,14538,0,0,71829,69880.86,3296122,3281624,0
3/18/2021,50342,2190186,26702,1099357,5164,74238,390,13017,61,1932,451,14989,0,0,82659,69327,3378781,3363832,0
3/19/2021,47674,2237860,29840,1129197,5569,79807,409,13426,74,2006,483,15472,0,0,83567,68843.71,3462348,3446916,0
3/20/2021,38636,2276496,25717,1154914,4628,84435,315,13741,54,2060,371,15843,0,0,69352,68373,3531700,3515899,0
3/21/2021,29240,2305736,19274,1174188,760,85195,237,13978,41,2101,280,16123,0,0,49554,68118.71,3581254,3565175,0
3/22/2021,33784,2339520,26670,1200858,4003,89198,260,14238,37,2138,297,16420,0,0,64755,69417.71,3646009,3629633,0
3/23/2021,38344,2377864,32751,1233609,4192,93390,300,14538,55,2193,359,16779,0,0,75646,71051.71,3721655,3704924,0
3/24/2021,41409,2419273,37534,1271143,4807,98197,339,14877,57,2250,398,17177,0,0,84148,72811.57,3805803,3788676,0
3/25/2021,43329,2462602,50693,1321836,5014,103211,483,15360,90,2340,577,17754,0,0,99613,75233.57,3905416,3887716,0
3/26/2021,38441,2501043,55420,1377256,4284,107495,523,15883,106,2446,632,18386,0,0,98777,77406.43,4004193,3985864,0
3/27/2021,35673,2536716,45669,1422925,2930,110425,420,16303,85,2531,506,18892,0,0,84778,79610.14,4088971,4070137,0
3/28/2021,26349,2563065,34383,1457308,1474,111899,344,16647,66,2597,414,19306,0,0,62620,81476.71,4151591,4132347,0
3/29/2021,34766,2597831,38768,1496076,3224,115123,373,17020,105,2702,479,19785,0,0,77237,83259.86,4228828,4209106,0
3/30/2021,40384,2638215,41837,1537913,3688,118811,350,17370,63,2765,415,20200,0,0,86324,84785.29,4315152,4295017,0
3/31/2021,49247,2687462,44794,1582707,7328,126139,419,17789,83,2848,502,20702,0,0,101871,87317.14,4417023,4396386,0
4/1/2021,50637,2738099,53865,1636572,11149,137288,505,18294,79,2927,588,21290,0,0,116239,89692.29,4533262,4512041,0
4/2/2021,43675,2781774,53779,1690351,11846,149134,557,18851,70,2997,632,21922,0,0,109932,91285.86,4643194,4621346,0
4/3/2021,39136,2820910,39151,1729502,9793,158927,347,19198,58,3055,406,22328,0,0,88486,91815.57,4731680,4709427,0
4/4/2021,26489,2847399,24749,1754251,3875,162802,226,19424,49,3104,275,22603,0,0,55388,90782.43,4787068,4764540,0
4/5/2021,41845,2889244,34343,1788594,11121,173923,390,19814,58,3162,449,23052,0,0,87758,92285.43,4874826,4851850,0
4/6/2021,53128,2942372,35562,1824156,13107,187030,448,20262,74,3236,522,23574,0,0,102319,94570.43,4977145,4953647,0
4/7/2021,55371,2997743,40644,1864800,14304,201334,413,20675,81,3317,496,24070,0,0,110815,95848.14,5087960,5063968,0
4/8/2021,59150,3056893,46511,1911311,16232,217566,535,21210,85,3402,621,24691,0,0,122514,96744.57,5210474,5185862,0
4/9/2021,56544,3113437,44857,1956168,17457,235023,536,21746,78,3480,619,25310,0,0,119477,98108.14,5329951,5304725,0
4/10/2021,49257,3162694,35587,1991755,12624,247647,400,22146,66,3546,470,25780,0,0,97938,99458.43,5427889,5402197,0
4/11/2021,38111,3200805,28790,2020545,7638,255285,288,22434,62,3608,351,26131,0,0,74890,102244.43,5502779,5476737,0
4/12/2021,46562,3247367,31783,2052328,13427,268712,478,22912,65,3673,544,26675,0,0,92316,102895.57,5595095,5568510,0
4/13/2021,52468,3299835,33740,2086068,369,269081,408,23320,60,3733,470,27145,0,0,87047,100713.86,5682142,5655089,0
4/14/2021,50082,3349917,39906,2125974,20,269101,369,23689,75,3808,446,27591,0,0,90454,97805.14,5772596,5745099,0
4/15/2021,52050,3401967,43647,2169621,15,269116,447,24136,105,3913,557,28148,0,0,96270,94056,5868866,5840817,0
4/16/2021,51143,3453110,42162,2211783,31,269147,440,24576,74,3987,517,28665,0,0,93853,90395.43,5962719,5934156,0
4/17/2021,43783,3496893,35663,2247446,3,269150,364,24940,83,4070,449,29114,0,0,79898,87818.29,6042617,6013607,0
4/18/2021,28565,3525458,29340,2276786,7,269157,259,25199,63,4133,323,29437,0,0,58235,85439,6100852,6071520,0
4/19/2021,37406,3562864,36385,2313171,21,269178,346,25545,68,4201,416,29853,0,0,74228,82855,6175080,6145334,0
4/20/2021,40761,3603625,39548,2352719,19,269197,316,25861,82,4283,399,30252,0,0,80727,81952.14,6255807,6225663,0
4/21/2021,38843,3642468,45924,2398643,17,269214,506,26367,94,4377,601,30853,0,0,85385,81228,6341192,6310448,0
4/22/2021,38455,3680923,48851,2447494,9,269223,349,26716,76,4453,427,31280,0,0,87743,80009.86,6428935,6397766,0
4/23/2021,39670,3720593,44289,2491783,3,269226,356,27072,75,4528,433,31713,0,0,84395,78658.71,6513330,6481730,0
4/24/2021,31907,3752500,41517,2533300,44,269270,283,27355,61,4589,345,32058,0,0,73813,77789.43,6587143,6555199,0
4/25/2021,18397,3770897,31163,2564463,86,269356,201,27556,60,4649,261,32319,0,0,49907,76599.71,6637050,6604845,0
4/26/2021,26938,3797835,40647,2605110,1011,270367,301,27857,93,4742,399,32718,0,0,68995,75852.14,6706045,6673446,0
4/27/2021,28533,3826368,47033,2652143,1693,272060,375,28232,98,4840,477,33195,0,0,77736,75424.86,6783781,6750709,0
4/28/2021,27001,3853369,56725,2708868,2140,274200,450,28682,100,4940,553,33748,0,0,86419,75572.57,6870200,6836578,0
4/29/2021,28571,3881940,57130,2765998,2144,276344,372,29054,102,5042,476,34224,0,0,88321,75655.14,6958521,6924425,0
4/30/2021,30091,3912031,51913,2817911,2052,278396,289,29343,70,5112,360,34584,0,0,84417,75658.29,7042938,7008483,0
5/1/2021,22461,3934492,44469,2862380,1170,279566,233,29576,68,5180,303,34887,0,0,68403,74885.43,7111341,7076585,0
5/2/2021,11912,3946404,36585,2898965,1080,280646,157,29733,55,5235,214,35101,0,0,49791,74868.86,7161132,7126164,0
5/3/2021,17993,3964397,52959,2951924,2376,283022,272,30005,85,5320,359,35460,0,0,73689,75539.43,7234821,7199496,0
5/4/2021,22715,3987112,56577,3008501,2325,285347,275,30280,113,5433,389,35849,0,0,82007,76149.57,7316828,7281115,0
5/5/2021,21463,4008575,48702,3057203,2303,287650,320,30600,100,5533,421,36270,0,0,72890,74216.86,7389718,7353585,0
5/6/2021,20669,4029244,50125,3107328,2502,290152,274,30874,88,5621,366,36636,0,0,73662,72122.71,7463380,7426885,0
5/7/2021,21225,4050469,52050,3159378,2804,292956,319,31193,79,5700,399,37035,0,0,76478,70988.57,7539858,7502965,0
5/8/2021,16615,4067084,41828,3201206,1828,294784,237,31430,68,5768,305,37340,0,0,60576,69870.43,7600434,7563236,0
5/9/2021,7964,4075048,29384,3230590,1259,296043,153,31583,54,5822,208,37548,0,0,38815,68302.43,7639249,7601844,0
5/10/2021,14362,4089410,38498,3269088,2352,298395,253,31836,89,5911,345,37893,0,0,55558,65712.29,7694807,7657060,0
5/11/2021,19879,4109289,43030,3312118,2507,300902,297,32133,85,5996,387,38280,0,0,65804,63397.57,7760611,7722482,0
5/12/2021,17802,4127091,40515,3352633,3582,304484,235,32368,81,6077,316,38596,0,0,62215,61872.57,7822826,7784381,0
5/13/2021,24910,4152001,40424,3393057,3223,307707,261,32629,78,6155,341,38937,0,0,68899,61192.14,7891725,7852941,0
5/14/2021,26976,4178977,42938,3435995,3529,311236,271,32900,91,6246,364,39301,0,0,73807,60810.57,7965532,7926386,0
5/15/2021,23620,4202597,34914,3470909,3360,314596,259,33159,74,6320,334,39635,0,0,62228,61046.57,8027760,7988281,0
5/16/2021,15503,4218100,19444,3490353,2492,317088,126,33285,47,6367,174,39809,0,0,37613,60874.86,8065373,8025721,0
5/17/2021,22650,4240750,29133,3519486,3248,320336,193,33478,65,6432,258,40067,0,0,55289,60836.43,8120662,8080752,0
5/18/2021,24610,4265360,31897,3551383,3396,323732,242,33720,81,6513,324,40391,0,0,60227,60039.71,8180889,8140656,0
5/19/2021,24162,4289522,29723,3581106,3034,326766,228,33948,49,6562,278,40669,0,0,57197,59322.86,8238086,8197576,0
5/20/2021,24127,4313649,30101,3611207,3160,329926,271,34219,85,6647,361,41030,0,0,57749,57730,8295835,8254969,0
5/21/2021,24656,4338305,31999,3643206,3047,332973,243,34462,62,6709,308,41338,0,0,60010,55759,8355845,8314674,0
5/22/2021,20002,4358307,24373,3667579,2521,335494,165,34627,47,6756,213,41551,0,0,47109,53599.14,8402954,8361571,0
5/23/2021,11217,4369524,13734,3681313,1407,336901,92,34719,32,6788,125,41676,0,0,26483,52009.14,8429437,8387930,0
5/24/2021,18845,4388369,23161,3704474,2754,339655,223,34942,52,6840,278,41954,0,0,45038,50544.71,8474475,8432693,0
5/25/2021,19416,4407785,23379,3727853,2596,342251,173,35115,57,6897,230,42184,0,0,45621,48458.14,8520096,8478084,0
5/26/2021,18772,4426557,21092,3748945,2696,344947,196,35311,49,6946,247,42431,0,0,42807,46402.43,8562903,8520646,0
5/27/2021,18452,4445009,21269,3770214,2529,347476,184,35495,58,7004,243,42674,0,0,42493,44223,8605396,8562897,0
5/28/2021,17854,4462863,22873,3793087,2746,350222,184,35679,60,7064,245,42919,0,0,43718,41895.57,8649114,8606371,0
5/29/2021,12699,4475562,17820,3810907,1750,351972,104,35783,38,7102,143,43062,0,0,32412,39796,8681526,8638641,0
5/30/2021,7024,4482586,8946,3819853,1073,353045,51,35834,15,7117,66,43128,0,0,17109,38456.86,8698635,8655684,0
5/31/2021,4738,4487324,6920,3826773,1006,354051,67,35901,18,7135,85,43213,0,0,12749,33844.14,8711384,8668348,0
6/1/2021,16035,4503359,25182,3851955,2174,356225,161,36062,40,7175,205,43418,0,0,43596,33554.86,8754980,8711743,0
6/2/2021,15345,4518704,20392,3872347,2093,358318,137,36199,46,7221,183,43601,0,0,38013,32870,8792993,8749573,0
6/3/2021,14990,4533694,23797,3896144,2278,360596,133,36332,45,7266,180,43781,0,0,41245,32691.71,8834238,8790640,0
6/4/2021,14701,4548395,25977,3922121,2491,363087,146,36478,40,7306,187,43968,0,0,43357,32640.14,8877595,8833811,0
6/5/2021,10980,4559375,22080,3944201,1806,364893,114,36592,29,7335,144,44112,0,0,35010,33011.29,8912605,8868678,0
6/6/2021,6439,4565814,14472,3958673,1217,366110,91,36683,13,7348,105,44217,0,0,22233,33743.29,8934838,8890807,0
6/7/2021,11689,4577503,21768,3980441,2375,368485,144,36827,38,7386,185,44402,0,0,36017,37067.29,8970855,8926642,0
6/8/2021,12619,4590122,24010,4004451,2069,370554,131,36958,44,7430,176,44578,0,0,38874,36392.71,9009729,8965341,0
6/9/2021,11122,4601244,23014,4027465,2299,372853,135,37093,44,7474,181,44759,0,0,36616,36193.14,9046345,9001778,0
6/10/2021,12048,4613292,22227,4049692,2458,375311,143,37236,60,7534,204,44963,0,0,36938,35577.86,9083283,9038513,0
6/11/2021,12691,4625983,25121,4074813,2480,377791,157,37393,61,7595,219,45182,0,0,40511,35171.29,9123794,9078806,0
6/12/2021,10155,4636138,19312,4094125,1886,379677,95,37488,45,7640,142,45324,0,0,31495,34669.14,9155289,9110161,0
6/13/2021,4248,4640386,10938,4105063,1210,380887,43,37531,21,7661,65,45389,0,0,16463,33844.86,9171752,9126560,0
6/14/2021,10199,4650585,19228,4124291,2039,382926,138,37669,50,7711,188,45577,0,0,31654,33221.57,9203406,9158026,0
6/15/2021,11874,4662459,21017,4145308,1939,384865,128,37797,41,7752,170,45747,0,0,35001,32668.29,9238407,9192858,0
6/16/2021,11580,4674039,19395,4164703,1953,386818,153,37950,73,7825,226,45973,0,0,33154,32173.71,9271561,9225786,0
6/17/2021,11012,4685051,18763,4183466,1971,388789,129,38079,36,7861,167,46140,0,0,31913,31455.86,9303474,9257534,0
6/18/2021,12165,4697216,18489,4201955,2110,390899,119,38198,38,7899,158,46298,0,0,32923,30371.86,9336397,9290300,0
6/19/2021,8487,4705703,13519,4215474,1458,392357,87,38285,23,7922,110,46408,0,0,23574,29240.29,9359971,9313764,0
